,taxroll_number,net_area,basement_finished,has_garage,has_fireplace,assessed_value,lot_size,building_count,walkout_basement,air_conditioning,valuation_group,tot_gross_area_description,lon,lat
29030,7870389,113.84,1,1,1,510000,705.827,1,0,0,0,162.75,-113.5476424,53.4803061
29031,7870405,117.56,1,1,1,546000,692.984,1,0,0,0,166.47,-113.5479392,53.48034
29032,7870439,113.9,1,1,1,577500,863.939,1,0,0,0,158.43,-113.5481683,53.4800843
29033,7870447,110.52,1,1,1,618500,886.295,1,0,0,0,236.32,-113.5484432,53.4801208
29034,7872682,168.75,1,1,1,601000,904.415,1,0,0,0,207.79,-113.5488709,53.4799251
29035,7872666,234.7,1,1,1,677500,898.42,1,0,0,0,287.99,-113.5491027,53.4796323
29036,7872633,246.07,1,1,1,706000,985.518,1,0,0,0,290.6,-113.5494024,53.4794865
29037,7872625,181.53,1,1,1,626500,980.517,1,0,0,0,222.33,-113.5496352,53.4792744
29038,7872567,267.2,1,1,1,1284500,1038.221,1,0,1,0,336.3,-113.5500042,53.479431
29039,7870801,275.0,1,1,1,872000,869.662,1,0,1,0,333.5,-113.5501355,53.4791738
29040,7872534,186.65,1,1,1,687500,1107.677,1,0,0,0,216.32,-113.5501651,53.4791875
29041,7872518,147.42,1,1,1,828500,1133.088,1,0,0,0,211.12,-113.5504667,53.4789492
29042,7870868,184.17,1,1,1,557500,830.051,1,0,0,0,230.89,-113.5506463,53.4784917
29043,7872484,184.85,1,1,1,751500,1126.82,1,0,0,0,222.06,-113.5511734,53.4785479
29044,10101480,145.8,0,1,1,401500,290.223,1,0,0,0,174.5,-113.6087557,53.4297222
29045,10101483,135.1,0,1,1,392500,293.92,1,0,0,0,163.6,-113.6087602,53.4295788
29046,10101484,146.8,0,1,1,404000,293.058,1,0,0,0,175.3,-113.6087608,53.4295258
29047,10158444,135.4,1,1,1,388000,335.418,1,0,0,0,172.61,-113.608342,53.4292372
29048,10101486,152.7,0,1,1,411500,287.587,1,0,0,0,180.1,-113.6087841,53.4293767
29049,10158443,133.2,1,1,1,376000,265.277,1,0,0,0,171.63,-113.6083428,53.4291779
29050,10101487,133.5,1,1,1,429500,285.777,1,1,1,0,162.4,-113.6088292,53.429298
29051,10158451,135.4,1,1,1,375500,249.626,1,0,0,0,172.6,-113.608374,53.429096
29052,10101488,146.8,0,1,0,424500,285.676,1,1,0,0,174.5,-113.6088298,53.4292462
29053,10158450,118.7,1,1,0,339500,211.105,1,0,0,0,155.9,-113.6083745,53.4290449
29054,10158449,133.2,1,1,1,377500,282.408,1,0,0,0,170.4,-113.608375,53.4289858
29055,10158447,119.1,1,1,0,340000,213.337,1,0,0,0,157.53,-113.6083794,53.4288374
29056,10101492,151.4,0,1,0,433500,287.056,1,1,0,0,179.1,-113.6088712,53.4289577
29057,10158446,128.8,1,1,1,371500,283.293,1,0,0,0,166.01,-113.60838,53.4287778
29058,10101496,136.7,0,1,1,421000,287.905,1,1,0,0,165.4,-113.6088736,53.4288643
29059,10101497,150.4,0,1,1,434500,287.914,1,1,0,0,177.7,-113.6088501,53.4288139
29060,10158452,135.4,1,1,1,363500,213.765,1,0,0,0,173.83,-113.6083875,53.4286403
29061,10158453,133.2,0,1,1,366500,307.655,1,0,0,0,170.41,-113.608388,53.4285841
29062,10158442,128.8,1,1,1,377000,328.705,1,0,0,0,166.0,-113.6083589,53.4284971
29063,10101500,136.7,0,1,1,423500,308.55,1,1,0,0,165.4,-113.6088842,53.4285829
29064,10158441,121.4,1,1,0,344000,224.237,1,0,0,0,159.5,-113.6083738,53.4284477
29065,10101506,148.6,0,1,1,436500,314.605,1,1,0,0,175.9,-113.6088844,53.4285134
29066,10101507,130.2,0,1,0,413500,314.257,1,1,0,0,159.8,-113.6089278,53.4284186
29067,10101508,130.6,0,1,1,416500,318.025,1,1,0,0,159.0,-113.6089227,53.4283236
29068,10158438,135.4,1,1,1,363500,230.003,1,0,0,0,172.6,-113.6084739,53.4282484
29069,10101577,136.5,0,1,1,419500,290.322,1,1,0,0,165.0,-113.609001,53.4282285
29070,10158437,133.2,1,1,1,383500,332.184,1,0,0,0,170.4,-113.6085091,53.4281967
29071,10158436,133.2,0,1,1,384500,313.341,1,0,0,0,170.4,-113.6085724,53.4281163
29072,10101593,136.7,0,1,1,374500,312.086,1,0,0,0,165.4,-113.6091356,53.4281038
29073,10158435,135.4,0,1,1,364500,207.92,1,0,0,0,172.6,-113.6086189,53.4280652
29074,10101594,148.6,0,1,1,395500,398.511,1,0,0,0,175.9,-113.6092199,53.4280465
29075,10158434,133.2,0,1,1,381500,291.048,1,0,0,0,170.4,-113.608664,53.4280155
29076,10158433,136.6,0,1,1,383000,254.813,1,0,0,0,173.8,-113.6087286,53.4279523
29077,10158432,137.5,0,1,1,396500,348.002,1,0,0,0,175.6,-113.6087818,53.4278989
29078,9155763,102.18,1,1,0,382500,557.127,1,0,0,2,144.52,-113.4251304,53.5366097
29079,9158460,203.62,1,1,1,500000,579.78,1,0,0,2,244.49,-113.428803,53.5351334
29080,9156480,97.22,1,1,0,382000,542.881,1,0,1,2,128.61,-113.4263962,53.5367054
29081,10513119,0.0,0,0,0,203000,576.553,0,0,0,4,0.0,-113.5204786,53.3970463
29082,9992536,174.3,1,1,1,479000,510.179,1,0,0,0,213.16,-113.508617,53.418932
29083,9992537,200.0,1,1,1,541500,569.721,1,0,0,0,240.8,-113.50874,53.419143
29084,9992535,164.0,1,1,1,462500,462.712,1,0,0,0,203.04,-113.5088115,53.4188779
29085,9992538,203.8,1,1,1,650000,670.17,1,1,0,0,252.71,-113.5089949,53.4191612
29086,9992534,199.7,1,1,1,565500,443.244,1,0,0,0,238.7,-113.508865,53.418692
29087,9992539,197.9,1,1,1,599000,459.109,1,1,0,0,236.0,-113.509198,53.419219
29088,9992533,140.4,0,1,0,453500,439.446,1,0,0,0,187.3,-113.509064,53.418644
29089,9992532,242.8,0,1,1,563000,479.936,1,0,0,0,288.2,-113.5093113,53.418756
29090,9992541,165.5,1,1,1,589000,488.639,1,1,0,0,212.5,-113.5096578,53.4190719
29091,9992528,154.3,1,1,1,455000,507.936,1,0,0,0,189.6,-113.509421,53.418612
29092,9992542,127.5,1,1,1,560000,479.422,1,1,0,0,169.84,-113.5097528,53.4190402
29093,9992527,167.4,0,1,1,462500,584.475,1,0,0,0,202.78,-113.509608,53.418572
29094,9992543,207.5,1,1,1,629000,470.421,1,1,0,0,250.0,-113.509981,53.418973
29095,9992582,130.06,1,1,1,468000,499.794,1,0,0,0,178.97,-113.5100479,53.4186517
29096,9992544,188.0,1,1,1,611000,481.928,1,1,0,0,233.0,-113.510154,53.41907
29097,9992581,172.0,0,1,1,499000,443.238,1,0,1,0,216.9,-113.5102966,53.4186707
29098,9992580,174.3,0,1,1,454000,426.046,1,0,0,0,209.68,-113.510441,53.418538
29099,9992546,174.3,1,1,1,540000,472.69,1,1,0,0,213.16,-113.510574,53.419116
29100,9992550,120.2,1,1,1,514500,569.643,1,0,0,0,162.54,-113.510877,53.4186369
29101,9992548,187.3,1,1,1,557000,542.641,1,1,0,0,224.3,-113.51094,53.418943
29102,9992549,175.5,1,1,1,483000,482.765,1,0,0,0,212.6,-113.510945,53.41878
29103,3889508,114.7,0,1,1,419000,559.086,1,0,0,2,157.4,-113.6796491,53.5142792
29104,3889532,107.88,1,1,0,384000,570.432,1,0,0,2,140.88,-113.679015,53.5144469
29105,3889482,112.5,1,1,1,403000,487.72,1,0,0,2,151.7,-113.6797386,53.5144012
29106,3889557,172.97,1,1,1,433500,513.461,1,0,0,2,215.57,-113.679089,53.51457
29107,3889466,158.208,0,1,1,422000,489.676,1,0,0,2,201.088,-113.6797736,53.5144856
29108,3889573,179.44,0,1,1,419500,509.779,1,0,0,2,218.48,-113.679163,53.514669
29109,3889425,117.42,1,1,0,410500,501.463,1,0,0,2,153.02,-113.6798983,53.5146859
29110,3889599,116.22,1,1,0,400000,513.777,1,0,0,2,151.82,-113.679276,53.514876
29111,3889615,101.58,0,1,1,436500,486.812,1,0,0,2,139.68,-113.6795109,53.5149596
29112,3889623,158.08,0,1,1,463500,527.619,1,0,0,2,200.88,-113.6795191,53.5150746
29113,3889631,106.58,0,1,1,431000,509.79,1,0,0,2,146.42,-113.6795803,53.5152241
29114,3889649,163.47,1,1,1,496500,773.98,1,0,0,2,201.77,-113.6797516,53.5152998
29115,3889656,207.04,1,1,1,552500,611.601,1,0,0,2,251.44,-113.6799436,53.5153082
29116,3889664,141.74,0,1,1,506500,584.915,1,0,0,2,186.63,-113.680167,53.5152603
29117,3889383,115.84,0,1,1,401000,524.001,1,0,0,2,161.44,-113.6799799,53.5149457
29118,3889680,149.2,1,1,1,544000,550.725,1,0,0,2,200.8,-113.6805508,53.5152378
29119,3889326,131.82,1,1,1,391500,468.991,1,0,1,2,169.03,-113.680399,53.514878
29120,3889698,146.0,1,1,1,547000,550.718,1,0,1,2,189.2,-113.6807915,53.5152292
29121,3889292,160.4,1,1,1,451500,468.99,1,0,0,2,206.6,-113.6806221,53.514961
29122,3889276,171.7,1,1,1,466500,501.929,1,0,0,2,216.7,-113.6808571,53.5149511
29123,3889722,134.4,0,1,1,484000,629.503,1,0,0,2,167.5,-113.6812864,53.5152423
29124,3889730,220.75,0,1,1,570500,941.563,1,0,0,2,268.55,-113.6813921,53.5151593
29125,3889748,176.48,0,1,1,457500,557.982,1,0,0,2,225.18,-113.681583,53.51509
29126,3889755,146.4,1,1,1,439000,504.217,1,0,1,2,187.0,-113.6814204,53.5149378
29127,3889771,145.24,0,1,1,421000,484.267,1,0,0,2,197.54,-113.6812823,53.5146918
29128,3889789,178.06,1,1,1,473000,501.768,1,0,0,2,215.46,-113.68141,53.514576
29129,3889235,102.52,0,1,0,367000,477.812,1,0,0,2,140.32,-113.6807784,53.5145216
29130,3889813,175.55,0,1,1,451000,460.025,1,0,0,2,216.42,-113.6811915,53.5143558
29131,3889219,107.66,1,1,1,401000,465.921,1,0,0,2,145.56,-113.6806789,53.5142979
29132,3889821,174.86,0,1,1,448500,454.528,1,0,1,2,218.16,-113.681277,53.514226
29133,3889193,165.88,0,1,1,447500,478.867,1,0,0,2,205.88,-113.6806416,53.5142064
29134,3889185,119.13,0,1,1,408000,568.011,1,0,0,2,170.83,-113.680364,53.514108
29135,3889847,161.48,0,1,1,425500,519.309,1,0,0,2,198.48,-113.6810286,53.5140311
29136,9989563,120.9,0,1,1,427000,412.192,1,0,0,0,161.7,-113.5123597,53.420556
29137,9989554,161.8,1,1,1,453000,416.564,1,0,0,0,197.1,-113.5126859,53.4208212
29138,9989555,150.8,0,1,1,433500,407.053,1,0,0,0,187.65,-113.5126344,53.4209185
29139,9989556,116.9,1,1,1,443000,407.054,1,0,0,0,154.11,-113.5125507,53.4209717
29140,9989558,164.4,0,1,1,439000,383.171,1,0,0,0,199.7,-113.512018,53.4210318
29141,9989544,122.4,1,1,1,451000,407.053,1,0,1,0,167.0,-113.5124418,53.4211472
29142,9989557,160.8,1,1,1,449000,381.958,1,0,0,0,196.1,-113.5119465,53.4211447
29143,9989545,129.1,1,1,1,418500,402.841,1,0,0,0,164.4,-113.5123699,53.4212719
29144,9989547,166.4,0,1,1,446000,437.237,1,0,0,0,202.5,-113.5118153,53.4211842
29145,9989535,160.1,1,1,1,461500,419.959,1,0,0,0,196.8,-113.5124064,53.4213572
29146,9989546,140.7,0,1,1,425500,397.793,1,0,0,0,179.9,-113.511583,53.421264
29147,9989536,161.8,0,1,1,442000,423.607,1,0,0,0,200.6,-113.512453,53.421512
29148,9989541,209.4,0,1,1,543000,607.14,1,0,0,0,250.0,-113.5117124,53.4213784
29149,9989537,167.1,0,1,1,489000,774.303,1,0,0,0,208.1,-113.512336,53.42166
29150,9989540,151.5,0,1,1,467500,904.277,1,0,0,0,192.1,-113.511487,53.421558
29151,9989538,178.7,1,1,1,493000,555.688,1,0,0,0,219.5,-113.512067,53.421666
29152,9989539,200.0,0,1,1,525000,526.118,1,0,0,0,240.8,-113.511803,53.421626
29153,9954354,100.8,0,1,1,401000,469.507,1,0,0,2,158.0,-113.684325,53.5139039
29154,9954355,103.3,0,1,1,390500,473.0,1,0,0,2,139.5,-113.6849401,53.513898
29155,9954357,168.2,0,1,1,417000,419.422,1,0,0,2,205.4,-113.6845344,53.5140397
29156,9954387,116.2,1,1,1,422000,414.617,1,0,1,2,156.1,-113.685109,53.514005
29157,9954386,167.3,0,1,1,409000,394.225,1,0,0,2,206.0,-113.6849707,53.5141238
29158,9954359,160.9,1,1,1,420000,415.0,1,0,1,2,205.3,-113.6845506,53.5142245
29159,9954385,137.7,0,1,1,397000,415.0,1,0,1,2,178.9,-113.6849917,53.5142267
29160,9954360,197.3,0,1,1,468000,394.272,1,0,0,2,233.8,-113.684373,53.5143429
29161,9954384,137.0,0,1,1,385000,394.0,1,0,0,2,174.2,-113.6849975,53.5143114
29162,9954361,105.9,1,1,0,393500,414.666,1,0,0,2,142.6,-113.6845672,53.5144616
29163,9954383,109.8,0,1,0,407000,414.617,1,0,0,2,147.2,-113.685152,53.514432
29164,9954362,162.1,0,1,1,424500,394.272,1,0,0,2,201.2,-113.6845708,53.5145481
29165,9954382,136.0,0,1,1,383000,393.379,1,0,0,2,173.8,-113.6850238,53.5145279
29166,9954381,127.6,0,1,1,379000,412.0,1,0,0,2,170.3,-113.6850472,53.5146584
29167,9954364,136.6,0,1,0,390500,566.0,1,0,0,2,175.2,-113.6845973,53.5147983
29168,9954380,161.2,1,1,1,439500,389.118,1,0,1,2,196.6,-113.685182,53.514753
29169,9954366,98.2,1,1,0,393500,644.684,1,0,0,2,135.2,-113.6845249,53.5150571
29170,9954367,138.9,1,1,1,550500,912.33,1,0,0,2,182.2,-113.6846629,53.5151239
29171,9954368,186.1,0,1,1,519500,558.0,1,0,0,2,231.4,-113.6848763,53.5151718
29172,9954370,159.7,0,1,1,473000,455.0,1,0,0,2,202.6,-113.6852539,53.5151585
29173,9954377,145.9,1,1,1,416500,520.0,1,0,0,2,183.1,-113.6856704,53.5147532
29174,9954376,235.0,0,1,1,517500,655.514,1,0,0,2,279.0,-113.686013,53.514757
29175,9954375,172.8,0,1,1,444500,535.0,1,0,0,2,213.3,-113.686086,53.514925
29176,9954374,188.3,0,1,1,471500,755.656,1,0,0,2,231.0,-113.686097,53.515122
29177,9972818,179.0,1,1,1,536000,506.807,1,0,0,0,221.9,-113.5084797,53.4240874
29178,9972802,118.4,0,1,1,417500,456.768,1,0,0,0,155.7,-113.508491,53.424448
29179,9972817,200.3,1,1,1,553500,517.956,1,0,0,0,242.0,-113.508268,53.423936
29180,9972803,146.0,1,1,1,433500,456.77,1,0,0,0,184.5,-113.5083262,53.4243582
29181,9972805,165.8,0,1,1,433500,456.776,1,0,0,0,202.8,-113.507938,53.424448
29182,9972814,171.9,1,1,1,509000,517.682,1,0,0,0,212.0,-113.507626,53.423926
29183,9972806,144.7,0,1,1,415000,463.266,1,0,0,0,183.1,-113.507752,53.42445
29184,9972812,205.4,0,1,1,550500,732.709,1,0,0,0,253.0,-113.507102,53.423904
29185,9972808,139.7,0,1,1,449000,525.587,1,0,0,0,192.4,-113.507342,53.424484
29186,9972811,132.7,1,1,1,548500,755.969,1,0,0,0,173.5,-113.5071332,53.4240955
29187,9972809,130.2,1,1,1,481500,940.674,1,0,0,0,183.7,-113.507018,53.4244739
29188,3888732,103.09,0,1,1,383000,479.401,1,0,0,2,143.39,-113.680392,53.513702
29189,3889011,104.56,0,1,1,389000,424.177,1,0,0,2,142.26,-113.6801976,53.5133453
29190,3888740,134.79,1,1,1,383000,400.165,1,0,0,2,171.64,-113.6802289,53.5136204
29191,3889003,172.2,0,1,1,438500,405.2,1,0,0,2,213.1,-113.6799905,53.5133673
29192,3888765,101.48,1,1,1,382500,407.047,1,0,0,2,137.98,-113.6800437,53.5136521
29193,3888997,134.28,0,1,1,373500,421.63,1,0,0,2,167.83,-113.6797887,53.5134222
29194,3888773,99.91,0,1,1,368500,428.016,1,0,0,2,137.11,-113.6798908,53.513696
29195,3888781,114.65,1,1,1,401000,424.42,1,0,0,2,152.95,-113.679649,53.51375
29196,3888799,125.94,0,1,1,375500,424.191,1,0,0,2,166.81,-113.6794896,53.5137974
29197,3888971,114.53,0,1,1,408000,549.303,1,0,0,2,150.23,-113.679357,53.513432
29198,3888807,102.77,0,1,0,370000,520.216,1,0,0,2,139.98,-113.67931,53.513839
29199,3888823,212.2,0,1,1,494000,1080.829,1,0,0,2,256.73,-113.678791,53.514012
29200,3888831,173.36,0,1,1,426500,620.874,1,0,0,2,214.23,-113.678793,53.513725
29201,3888849,177.35,0,1,1,425500,437.379,1,0,0,2,214.75,-113.6788572,53.5136409
29202,3888856,115.75,1,1,1,445500,587.193,1,0,1,2,155.25,-113.6788948,53.513497
29203,3888864,139.2,0,1,1,368500,463.402,1,0,0,2,178.06,-113.6789081,53.5134016
29204,3888872,113.1,1,1,1,413000,463.394,1,0,0,2,155.3,-113.6788928,53.5132745
29205,3888963,146.64,1,1,1,398000,525.66,1,0,0,2,180.19,-113.6794845,53.5131778
29206,3888880,101.73,0,1,1,371500,501.244,1,0,0,2,138.53,-113.6788745,53.5131843
29207,3888898,127.54,1,1,1,417000,639.812,1,0,0,2,168.5,-113.6788651,53.5130458
29208,3888948,122.64,0,1,1,409000,889.958,1,0,0,2,163.04,-113.6795036,53.5129344
29209,3888930,159.49,1,1,1,451000,876.256,1,0,0,2,195.99,-113.679358,53.512745
29210,3888922,207.3,0,1,1,483000,727.682,1,0,0,2,247.7,-113.6791108,53.5128665
29211,10512188,0.0,0,0,0,185500,554.368,0,0,0,4,0.0,-113.5129444,53.6090109
29212,10512187,0.0,0,0,0,184500,507.45,0,0,0,4,0.0,-113.5127903,53.6090111
29213,10512179,0.0,0,0,0,184500,507.499,0,0,0,4,0.0,-113.5127903,53.6090333
29214,10512186,0.0,0,0,0,182000,495.962,0,0,0,4,0.0,-113.5126361,53.6090112
29215,10512185,0.0,0,0,0,182500,610.441,0,0,0,4,0.0,-113.512482,53.6090113
29216,10512181,0.0,0,0,0,253500,637.863,0,0,0,4,0.0,-113.5124821,53.6090336
29217,10512182,0.0,0,0,0,264000,820.671,0,0,0,4,0.0,-113.5123279,53.6090337
29218,10512183,0.0,0,0,0,275500,883.631,0,0,0,4,0.0,-113.5121737,53.6090116
29219,9989252,186.8,0,1,1,508000,478.785,1,0,0,0,227.7,-113.5126,53.422824
29220,9989269,157.5,1,1,1,445500,424.283,1,0,0,0,192.88,-113.5126356,53.4232137
29221,9989253,184.4,1,1,1,508000,452.118,1,0,0,0,222.0,-113.5124065,53.4229371
29222,9989268,160.9,0,1,1,436000,400.195,1,0,0,0,196.2,-113.512451,53.423324
29223,9989254,193.8,0,1,1,527500,464.603,1,0,0,0,235.8,-113.5122702,53.4229302
29224,9989267,151.9,0,1,1,439000,423.546,1,0,0,0,192.7,-113.5123615,53.4232065
29225,9989255,170.9,0,1,1,454500,460.346,1,0,0,0,206.2,-113.5120124,53.4228733
29226,9989256,134.6,1,1,1,464000,452.62,1,0,0,0,177.5,-113.5119221,53.4228366
29227,9989257,128.2,0,1,0,403000,425.693,1,0,0,0,163.5,-113.5116747,53.4228013
29228,9989264,137.4,1,1,1,452000,407.003,1,0,0,0,172.17,-113.5117971,53.4232007
29229,9989258,187.7,0,1,1,553500,855.672,1,0,0,0,227.8,-113.511408,53.422665
29230,9989259,129.4,1,1,1,498500,657.315,1,0,0,0,170.27,-113.511238,53.422793
29231,9989262,199.8,0,1,1,527000,545.96,1,0,0,0,240.6,-113.51139,53.423271
29232,9989261,173.61,1,1,1,505000,793.44,1,0,0,0,218.5,-113.511136,53.423191
29233,9989260,217.7,0,1,1,543000,550.845,1,0,0,0,256.3,-113.511141,53.42302
29234,9983114,139.8,1,1,1,476000,447.427,1,0,0,0,182.7,-113.508627,53.421606
29235,9983104,166.1,0,1,0,442500,419.999,1,0,0,0,206.9,-113.5086456,53.421985
29236,9983115,139.8,1,1,0,433500,373.932,1,0,1,0,174.7,-113.508798,53.421628
29237,9983105,130.54,0,1,1,401500,355.204,1,0,0,0,165.92,-113.508805,53.422098
29238,9983116,151.9,1,1,1,453000,392.863,1,0,0,0,196.4,-113.508958,53.4216369
29239,9983117,161.8,0,1,1,432500,368.943,1,0,0,0,197.1,-113.509118,53.421647
29240,9983107,149.4,0,1,0,437500,380.882,1,0,0,0,184.17,-113.509121,53.422116
