,build_year_mbc
524,43.0
525,43.0
526,41.0
527,43.0
528,44.0
529,43.0
530,41.0
531,41.0
532,43.0
533,41.0
534,42.0
535,72.0
536,72.0
537,41.0
538,52.0
539,53.0
540,54.0
541,54.0
542,54.0
543,44.0
544,50.0
545,46.0
546,53.0
547,52.0
548,52.0
549,51.0
550,54.0
551,51.0
552,53.0
553,53.0
554,48.0
555,54.0
556,54.0
557,54.0
558,46.0
559,53.0
560,54.0
561,54.0
562,54.0
563,51.0
564,53.0
565,44.0
566,50.0
567,44.0
568,47.0
569,48.0
570,66.0
571,64.0
572,64.0
573,64.0
574,66.0
575,47.0
576,59.0
577,66.0
578,66.0
579,66.0
580,66.0
581,66.0
582,66.0
583,66.0
584,66.0
585,66.0
586,66.0
587,66.0
588,61.0
589,63.0
590,64.0
591,57.0
592,8.0
593,64.0
594,54.0
595,64.0
596,63.0
597,56.0
598,39.0
599,62.0
600,58.0
601,63.0
602,43.0
603,52.0
604,87.0
605,76.0
606,85.0
607,74.0
608,104.0
609,91.0
610,27.0
611,67.0
612,52.0
613,64.0
614,71.0
615,60.0
616,62.0
617,20.0
618,11.0
619,51.0
620,78.0
621,67.0
622,76.0
623,51.0
624,76.0
625,89.0
626,100.0
627,99.0
628,64.0
629,64.0
630,89.0
631,87.0
632,88.0
633,84.0
634,95.0
635,91.0
636,88.0
637,97.0
638,44.0
639,43.0
640,23.0
641,22.0
642,22.0
643,20.0
644,21.0
645,21.0
646,22.0
647,22.0
648,22.0
649,23.0
650,21.0
651,22.0
652,20.0
653,22.0
654,20.0
655,18.0
656,16.0
657,16.0
658,16.0
659,16.0
660,16.0
661,17.0
662,16.0
663,16.0
664,10.0
665,16.0
666,13.0
667,34.151212518231034
668,16.0
669,16.0
670,16.0
671,16.0
672,15.0
673,16.0
674,16.0
675,16.0
676,16.0
677,16.0
678,17.0
679,64.0
680,65.0
681,64.0
682,64.0
683,64.0
684,64.0
685,64.0
686,64.0
687,64.0
688,64.0
689,65.0
690,64.0
691,64.0
692,64.0
693,64.0
694,64.0
695,64.0
696,58.0
697,66.0
698,64.0
699,66.0
700,66.0
701,66.0
702,66.0
703,66.0
704,66.0
705,66.0
706,66.0
707,66.0
708,66.0
709,66.0
710,61.0
711,65.0
712,66.0
713,65.0
714,66.0
715,65.0
716,65.0
717,65.0
718,66.0
719,65.0
720,66.0
721,64.0
722,66.0
723,66.0
724,48.0
725,47.0
726,47.0
727,47.0
728,47.0
729,47.0
730,47.0
731,46.0
732,46.0
733,46.0
734,47.0
735,47.0
736,46.0
737,46.0
738,47.0
739,47.0
740,47.0
741,47.0
742,43.0
743,47.0
744,41.0
745,43.0
746,47.0
747,41.0
748,41.0
749,47.0
750,33.0
751,47.0
752,47.0
753,47.0
754,47.0
755,47.0
756,47.0
757,37.0
758,37.0
759,37.0
760,37.0
761,38.0
762,37.0
763,36.0
764,37.0
765,36.0
766,36.0
767,36.0
768,35.0
769,52.0
770,54.0
771,51.0
772,54.0
773,54.0
774,54.0
775,54.0
776,54.0
777,54.0
778,49.0
779,54.0
780,54.0
781,50.0
782,54.0
783,46.0
784,53.0
785,54.0
786,54.0
787,55.0
788,55.0
789,55.0
790,57.0
791,57.0
792,63.0
793,63.0
794,63.0
795,63.0
796,62.0
797,63.0
798,63.0
799,63.0
800,64.0
801,52.0
802,64.0
803,64.0
804,62.0
805,65.0
806,64.0
807,64.0
808,64.0
809,64.0
810,64.0
811,64.0
812,64.0
813,65.0
814,60.0
815,65.0
816,65.0
817,64.0
818,66.0
819,66.0
820,66.0
821,50.0
822,66.0
823,66.0
824,66.0
825,66.0
826,62.0
827,58.0
828,66.0
829,66.0
830,65.0
831,66.0
832,62.0
833,65.0
834,64.0
835,65.0
836,65.0
837,8.0
838,58.0
839,62.0
840,65.0
841,44.0
842,62.0
843,61.0
844,57.0
845,67.0
846,28.0
847,104.0
848,34.151212518231034
849,101.0
850,90.0
851,101.0
852,99.0
853,109.0
854,84.0
855,35.0
856,46.0
857,84.0
858,101.0
859,76.0
860,45.0
861,87.0
862,88.0
863,88.0
864,89.0
865,9.0
866,62.0
867,8.0
868,8.0
869,74.0
870,51.0
871,51.0
872,76.0
873,75.0
874,45.0
875,64.0
876,54.0
877,64.0
878,57.0
879,63.0
880,63.0
881,64.0
882,63.0
883,55.0
884,29.0
885,63.0
886,61.0
887,63.0
888,63.0
889,63.0
890,63.0
891,63.0
892,63.0
893,63.0
894,63.0
895,63.0
896,64.0
897,63.0
898,64.0
899,73.0
900,64.0
901,63.0
902,64.0
903,63.0
904,63.0
905,63.0
906,64.0
907,63.0
908,63.0
909,60.0
910,63.0
911,37.0
912,38.0
913,37.0
914,36.0
915,38.0
916,37.0
917,37.0
918,37.0
919,37.0
920,37.0
921,51.0
922,63.0
923,69.0
924,49.0
925,46.0
926,73.0
927,63.0
928,73.0
929,66.0
930,70.0
931,62.0
932,73.0
933,60.0
934,63.0
935,63.0
936,63.0
937,63.0
938,57.0
939,63.0
940,63.0
941,63.0
942,63.0
943,63.0
944,63.0
945,59.0
946,62.0
947,63.0
948,63.0
949,63.0
950,64.0
951,63.0
952,63.0
953,63.0
954,63.0
955,58.0
956,63.0
957,63.0
958,63.0
959,63.0
960,56.0
961,63.0
962,63.0
963,63.0
964,63.0
965,63.0
966,63.0
967,63.0
968,39.0
969,39.0
970,41.0
971,42.0
972,42.0
973,42.0
974,42.0
975,37.0
976,41.0
977,41.0
978,41.0
979,40.0
980,39.0
981,42.0
982,41.0
983,39.0
984,39.0
985,39.0
986,37.0
987,40.0
988,42.0
989,41.0
990,41.0
991,42.0
992,41.0
993,42.0
994,42.0
995,39.0
996,38.0
997,40.0
998,41.0
999,39.0
1000,41.0
1001,41.0
1002,41.0
1003,43.0
1004,39.0
1005,39.0
1006,40.0
1007,39.0
1008,37.0
1009,37.0
1010,36.0
1011,38.0
1012,37.0
1013,37.0
1014,37.0
1015,37.0
1016,37.0
1017,62.0
1018,62.0
1019,62.0
1020,62.0
1021,62.0
1022,61.0
1023,62.0
1024,57.0
1025,62.0
1026,62.0
1027,60.0
1028,62.0
1029,62.0
1030,61.0
1031,62.0
1032,61.0
1033,62.0
1034,61.0
1035,62.0
1036,61.0
1037,61.0
1038,61.0
1039,65.0
1040,66.0
1041,65.0
1042,64.0
1043,64.0
1044,63.0
1045,60.0
1046,59.0
1047,61.0
1048,60.0
1049,60.0
1050,60.0
1051,63.0
1052,63.0
1053,63.0
1054,63.0
1055,62.0
1056,63.0
1057,63.0
1058,63.0
1059,63.0
1060,63.0
1061,61.0
1062,9.0
1063,63.0
1064,63.0
1065,61.0
1066,42.0
1067,41.0
1068,42.0
1069,42.0
1070,41.0
1071,36.0
1072,38.0
1073,42.0
1074,41.0
1075,43.0
1076,42.0
1077,42.0
1078,40.0
1079,42.0
1080,39.0
1081,41.0
1082,37.0
1083,39.0
1084,39.0
1085,34.0
1086,39.0
1087,40.0
1088,41.0
1089,39.0
1090,42.0
1091,39.0
1092,37.0
1093,65.0
1094,49.0
1095,66.0
1096,48.0
1097,68.0
1098,69.0
1099,68.0
1100,102.0
1101,110.0
1102,108.0
1103,112.0
1104,65.0
1105,109.0
1106,34.151212518231034
1107,34.151212518231034
1108,105.0
1109,100.0
1110,10.0
1111,35.0
1112,36.0
1113,36.0
1114,35.0
1115,36.0
1116,36.0
1117,36.0
1118,34.0
1119,43.0
1120,35.0
1121,43.0
1122,42.0
1123,45.0
1124,45.0
1125,44.0
1126,45.0
1127,45.0
1128,44.0
1129,44.0
1130,45.0
1131,45.0
1132,45.0
1133,45.0
1134,45.0
1135,44.0
1136,18.0
1137,16.0
1138,14.0
1139,16.0
1140,16.0
1141,16.0
1142,18.0
1143,17.0
1144,18.0
1145,18.0
1146,18.0
1147,18.0
1148,66.0
1149,61.0
1150,57.0
1151,65.0
1152,65.0
1153,65.0
1154,65.0
1155,65.0
1156,82.0
1157,102.0
1158,56.0
1159,64.0
1160,61.0
1161,64.0
1162,56.0
1163,64.0
1164,63.0
1165,64.0
1166,64.0
1167,64.0
1168,64.0
1169,64.0
1170,64.0
1171,64.0
1172,64.0
1173,63.0
1174,53.0
1175,63.0
1176,63.0
1177,63.0
1178,64.0
1179,65.0
1180,64.0
1181,63.0
1182,64.0
1183,63.0
1184,64.0
1185,64.0
1186,64.0
1187,63.0
1188,55.0
1189,35.0
1190,38.0
1191,37.0
1192,34.0
1193,37.0
1194,37.0
1195,58.0
1196,55.0
1197,44.0
1198,58.0
1199,57.0
1200,58.0
1201,59.0
1202,56.0
1203,56.0
1204,57.0
1205,58.0
1206,61.0
1207,61.0
1208,16.0
1209,16.0
1210,16.0
1211,17.0
1212,17.0
1213,17.0
1214,17.0
1215,17.0
1216,18.0
1217,17.0
1218,18.0
1219,18.0
1220,19.0
1221,18.0
1222,18.0
1223,16.0
1224,64.0
1225,64.0
1226,64.0
1227,64.0
1228,64.0
1229,64.0
1230,64.0
1231,65.0
1232,50.0
1233,50.0
1234,50.0
1235,50.0
1236,50.0
1237,51.0
1238,51.0
1239,50.0
1240,51.0
1241,50.0
1242,51.0
1243,50.0
1244,49.0
1245,50.0
1246,50.0
1247,50.0
1248,49.0
1249,60.0
1250,61.0
1251,61.0
1252,60.0
1253,59.0
1254,61.0
1255,61.0
1256,60.0
1257,60.0
1258,66.0
1259,66.0
1260,66.0
1261,66.0
1262,66.0
1263,66.0
1264,66.0
1265,65.0
1266,66.0
1267,59.0
1268,64.0
1269,66.0
1270,66.0
1271,66.0
1272,66.0
1273,66.0
1274,66.0
1275,66.0
1276,66.0
1277,65.0
1278,58.0
1279,60.0
1280,54.0
1281,68.0
1282,60.0
1283,88.0
1284,76.0
1285,108.0
1286,75.0
1287,97.0
1288,94.0
1289,90.0
1290,101.0
1291,67.0
1292,93.0
1293,92.0
1294,32.0
1295,20.0
1296,59.0
1297,71.0
1298,43.0
1299,69.0
1300,67.0
1301,12.0
1302,40.0
1303,68.0
1304,21.0
1305,38.0
1306,38.0
1307,37.0
1308,38.0
1309,38.0
1310,37.0
1311,39.0
1312,38.0
1313,38.0
1314,38.0
1315,39.0
1316,38.0
1317,36.0
1318,38.0
1319,38.0
1320,39.0
1321,39.0
1322,38.0
1323,37.0
1324,37.0
1325,37.0
1326,39.0
1327,40.0
1328,39.0
1329,42.0
1330,41.0
1331,42.0
1332,41.0
1333,42.0
1334,35.0
1335,42.0
1336,42.0
1337,18.0
1338,18.0
1339,18.0
1340,18.0
1341,18.0
1342,18.0
1343,17.0
1344,18.0
1345,17.0
1346,18.0
1347,17.0
1348,18.0
1349,18.0
1350,61.0
1351,65.0
1352,65.0
1353,65.0
1354,65.0
1355,54.0
1356,65.0
1357,65.0
1358,65.0
1359,65.0
1360,65.0
1361,58.0
1362,65.0
1363,64.0
1364,65.0
1365,55.0
1366,65.0
1367,65.0
1368,65.0
1369,65.0
1370,65.0
1371,64.0
1372,65.0
1373,65.0
1374,65.0
1375,65.0
1376,65.0
1377,66.0
1378,66.0
1379,66.0
1380,66.0
1381,69.0
1382,67.0
1383,69.0
1384,69.0
1385,69.0
1386,69.0
1387,69.0
1388,69.0
1389,69.0
1390,22.0
1391,69.0
1392,69.0
1393,69.0
1394,68.0
1395,46.0
1396,69.0
1397,69.0
1398,69.0
1399,69.0
1400,68.0
1401,70.0
1402,70.0
1403,37.0
1404,70.0
1405,8.0
1406,46.0
1407,61.0
1408,62.0
1409,62.0
1410,61.0
1411,61.0
1412,75.0
1413,22.0
1414,72.0
1415,71.0
1416,9.0
1417,33.0
1418,19.0
1419,19.0
1420,19.0
1421,19.0
1422,19.0
1423,19.0
1424,19.0
1425,19.0
1426,18.0
1427,44.0
1428,50.0
1429,62.0
1430,55.0
1431,56.0
1432,58.0
1433,56.0
1434,58.0
1435,59.0
1436,55.0
1437,54.0
1438,65.0
1439,65.0
1440,65.0
1441,65.0
1442,65.0
1443,65.0
1444,65.0
1445,65.0
1446,65.0
1447,65.0
1448,40.0
1449,65.0
1450,67.0
1451,67.0
1452,67.0
1453,67.0
1454,67.0
1455,67.0
1456,62.0
1457,67.0
1458,67.0
1459,67.0
1460,67.0
1461,54.0
1462,54.0
1463,54.0
1464,55.0
1465,55.0
1466,57.0
1467,57.0
1468,57.0
1469,57.0
1470,57.0
1471,57.0
1472,57.0
1473,57.0
1474,63.0
1475,64.0
1476,63.0
1477,64.0
1478,64.0
1479,64.0
1480,64.0
1481,64.0
1482,64.0
1483,64.0
1484,55.0
1485,64.0
1486,64.0
1487,65.0
1488,54.0
1489,65.0
1490,65.0
1491,56.0
1492,64.0
1493,62.0
1494,64.0
1495,64.0
1496,62.0
1497,59.0
1498,38.0
1499,64.0
1500,59.0
1501,64.0
1502,57.0
1503,64.0
1504,58.0
1505,53.0
1506,65.0
1507,60.0
1508,65.0
1509,60.0
1510,55.0
1511,58.0
1512,58.0
1513,62.0
1514,62.0
1515,65.0
1516,62.0
1517,57.0
1518,65.0
1519,65.0
1520,65.0
1521,65.0
1522,65.0
1523,65.0
1524,65.0
1525,60.0
1526,66.0
1527,66.0
1528,102.0
1529,83.0
1530,86.0
1531,97.0
1532,102.0
1533,50.0
1534,68.0
1535,68.0
1536,68.0
1537,69.0
1538,68.0
1539,66.0
1540,65.0
1541,34.151212518231034
1542,38.0
1543,38.0
1544,38.0
1545,38.0
1546,39.0
1547,38.0
1548,38.0
1549,39.0
1550,38.0
1551,39.0
1552,38.0
1553,39.0
1554,38.0
1555,39.0
1556,38.0
1557,38.0
1558,38.0
1559,76.0
1560,68.0
1561,64.0
1562,77.0
1563,73.0
1564,63.0
1565,63.0
1566,60.0
1567,74.0
1568,106.0
1569,77.0
1570,72.0
1571,66.0
1572,92.0
1573,71.0
1574,19.0
1575,19.0
1576,18.0
1577,18.0
1578,20.0
1579,19.0
1580,18.0
1581,19.0
1582,18.0
1583,34.151212518231034
1584,33.0
1585,37.0
1586,54.0
1587,54.0
1588,57.0
1589,64.0
1590,64.0
1591,58.0
1592,64.0
1593,65.0
1594,65.0
1595,65.0
1596,60.0
1597,65.0
1598,66.0
1599,65.0
1600,65.0
1601,65.0
1602,66.0
1603,66.0
1604,47.0
1605,46.0
1606,47.0
1607,47.0
1608,47.0
1609,47.0
1610,47.0
1611,47.0
1612,46.0
1613,46.0
1614,49.0
1615,48.0
1616,49.0
1617,49.0
1618,49.0
1619,49.0
1620,49.0
1621,49.0
1622,48.0
1623,49.0
1624,70.0
1625,70.0
1626,70.0
1627,54.0
1628,63.0
1629,69.0
1630,70.0
1631,70.0
1632,24.0
1633,66.0
1634,63.0
1635,70.0
1636,70.0
1637,45.0
1638,45.0
1639,45.0
1640,45.0
1641,45.0
1642,45.0
1643,39.0
1644,45.0
1645,45.0
1646,44.0
1647,34.151212518231034
1648,10.0
1649,34.151212518231034
1650,9.0
1651,8.0
1652,34.151212518231034
1653,9.0
1654,9.0
1655,8.0
1656,34.151212518231034
1657,34.151212518231034
1658,10.0
1659,34.151212518231034
1660,8.0
1661,9.0
1662,10.0
1663,18.0
1664,19.0
1665,19.0
1666,19.0
1667,19.0
1668,19.0
1669,19.0
1670,19.0
1671,19.0
1672,19.0
1673,19.0
1674,19.0
1675,19.0
1676,18.0
1677,20.0
1678,20.0
1679,20.0
1680,20.0
1681,20.0
1682,20.0
1683,20.0
1684,19.0
1685,20.0
1686,17.0
1687,20.0
1688,19.0
1689,66.0
1690,67.0
1691,67.0
1692,68.0
1693,67.0
1694,68.0
1695,68.0
1696,68.0
1697,68.0
1698,68.0
1699,68.0
1700,68.0
1701,68.0
1702,68.0
1703,67.0
1704,59.0
1705,67.0
1706,68.0
1707,52.0
1708,55.0
1709,55.0
1710,55.0
1711,55.0
1712,54.0
1713,51.0
1714,54.0
1715,53.0
1716,64.0
1717,60.0
1718,64.0
1719,60.0
1720,87.0
1721,66.0
1722,66.0
1723,66.0
1724,61.0
1725,66.0
1726,61.0
1727,42.0
1728,60.0
1729,47.0
1730,74.0
1731,64.0
1732,61.0
1733,61.0
1734,64.0
1735,61.0
1736,65.0
1737,99.0
1738,64.0
1739,30.0
1740,64.0
1741,64.0
1742,64.0
1743,59.0
1744,62.0
