,taxroll_number,landuse_description,net_area,basement_finished,has_garage,has_fireplace,assessed_value,lot_size,building_count,walkout_basement,air_conditioning,valuation_group,tot_gross_area_description,lon,lat
11425,1090323,0,111.9,1,1,0,390500,892.603,1,0,0,,161.0,-113.6014247,53.51151759
11426,6984959,0,131.74,1,1,0,385500,721.659,1,0,0,,173.83,-113.4932863,53.62447973
11427,6985063,0,122.98,0,1,0,372000,555.574,1,0,0,,177.0,-113.493923,53.62448018
11428,6964720,0,236.44,0,1,1,473000,640.775,1,0,0,,276.76,-113.494323,53.62401685
11429,6985048,0,104.46,0,1,0,350000,531.26,1,0,0,,143.5,-113.4941685,53.62448121
11430,6964696,0,159.92,0,1,0,422000,642.942,1,0,0,,224.7,-113.4945903,53.62401573
11431,6985055,0,147.59,0,1,1,394000,510.737,1,0,0,,198.15,-113.49440349999999,53.62448221
11432,6985071,0,197.66,0,1,0,416000,510.787,1,0,0,,245.26,-113.49463390000001,53.62448318
11433,6964688,0,168.79,0,1,1,426000,649.794,1,0,0,,217.7,-113.49485849999999,53.62401686
11434,6985097,0,173.81,0,1,1,396500,541.331,1,0,0,,222.72,-113.49487109999998,53.62447969
11435,6964662,0,197.35,0,1,1,410000,636.874,1,0,0,,255.11,-113.4953942,53.62401912
11436,6985154,0,172.19,1,1,1,396500,561.787,1,0,0,,214.89,-113.49561729999999,53.62448283
11437,6985170,0,126.12,0,1,0,379500,577.227,1,0,0,,171.38,-113.49588899999999,53.62448398
11438,6985196,0,112.06,0,1,1,356000,584.662,1,0,0,,156.86,-113.4961525,53.62448958
11439,3815370,0,121.44,0,1,1,411500,528.89,1,0,0,,166.33,-113.4325019,53.62510108
11440,3815347,0,109.86,0,1,1,382000,528.978,1,0,0,,149.75,-113.43320859999999,53.62510443
11441,3815339,0,162.68,0,1,1,442000,521.461,1,0,0,,203.55,-113.43344420000001,53.62510329999999
11442,3815172,0,166.1,1,1,0,567500,938.725,1,1,0,,323.88,-113.43466540000001,53.62508886
11443,3804051,0,151.37,0,1,1,445000,519.745,1,0,0,,198.09,-113.43553329999999,53.62465489
11444,3815164,0,132.4,0,1,0,420000,571.492,1,0,0,,193.9,-113.4349772,53.62511953
11445,3804069,0,123.4,0,1,1,402000,519.636,1,0,0,,158.4,-113.43577509999999,53.62465154
11446,3815156,0,139.1,0,1,0,423500,527.803,1,0,0,,183.11,-113.4352827,53.62510525
11447,3804077,0,152.9,0,1,1,446000,514.03,1,0,0,,199.7,-113.4360264,53.62465272
11448,3815149,0,141.91,0,1,1,427500,532.939,1,0,0,,180.94,-113.43551979999998,53.62510637
11449,3804085,0,117.51,0,1,0,392000,515.181,1,0,0,,162.4,-113.4362649,53.62463812
11450,3815131,0,144.32,1,1,1,424000,532.993,1,0,0,,189.21,-113.4357571,53.62510299
11451,3804093,0,223.08,1,1,1,489500,545.665,1,0,0,,277.94,-113.4365006,53.62460553
11452,3815123,0,117.24,0,1,1,391500,538.588,1,0,0,,161.46,-113.43599569999999,53.62510412
11453,3804119,0,221.84,0,1,1,485500,556.961,1,0,0,,266.37,-113.43673359999998,53.62457068
11454,3815099,0,125.8,1,1,0,425000,584.328,1,0,0,,170.6,-113.4364701,53.62509063
11455,3804135,0,190.98,0,1,1,455500,532.976,1,0,0,,235.48,-113.4371699,53.62448288
11456,3815073,0,197.28,1,1,1,593500,859.901,1,1,0,,246.19,-113.4369716,53.62509973
11457,3804143,0,123.84,0,1,0,405500,532.463,1,0,0,,165.64,-113.43738640000001,53.62443447
11458,3815065,0,173.8,0,1,1,444000,607.449,1,0,0,,222.7,-113.4373196,53.62512158
11459,3815040,0,213.54,1,1,1,544500,916.026,1,0,0,,262.54,-113.4376634,53.62509399
11460,3804150,0,136.92,1,1,1,445500,538.882,1,0,0,,179.8,-113.4376068,53.62438608
11461,3815032,0,119.95,0,1,1,414000,651.936,1,0,0,,159.05,-113.4377912,53.62498227
11462,3815024,0,124.18,0,1,0,412500,514.719,1,0,0,,163.71,-113.4377676,53.62473954
11463,3804168,0,129.1,1,1,1,426000,539.407,1,0,0,,178.2,-113.43782730000001,53.62433994
11464,10007068,0,147.3,1,1,1,476000,493.846,1,0,0,,207.1,-113.4380995,53.62476805
11465,10007131,0,172.3,0,1,1,487500,543.665,1,0,0,,225.4,-113.43826609999998,53.62423193
11466,10007067,0,128.7,0,1,1,429000,479.39,1,0,0,,176.1,-113.43829699999999,53.62474202
